col,row,lat,long,id,noSnowMap,noSnowMapRBG,centroid_lat,centroid_long,area_points,x,y,area
610,341,47.0280990601,-110.06803894,0,2,[  0 128   0],47.063791275024414,-110.26634788513184,"{'top_right': (610, 340), 'bottom_left': (609, 341), 'bottom_right': (610, 341), 'top_left': (609, 340)}",2608745.47483,1351829.84376,483.086119933
610,342,47.1991348267,-110.21396637,1,2,[  0 128   0],47.234523773193359,-110.41328048706055,"{'top_right': (610, 341), 'bottom_left': (609, 342), 'bottom_right': (610, 342), 'top_left': (609, 341)}",2596485.11608,1370050.66417,484.216042048
611,342,47.0992088318,-110.465019226,2,2,[  0 128   0],47.133979797363281,-110.66404342651367,"{'top_right': (611, 341), 'bottom_left': (610, 342), 'bottom_right': (611, 342), 'top_left': (610, 341)}",2578203.86114,1357744.62883,483.554079123
609,343,47.4699172974,-110.108108521,3,2,[  0 128   0],47.505620002746582,-110.3087215423584,"{'top_right': (609, 342), 'bottom_left': (608, 343), 'bottom_right': (609, 343), 'top_left': (608, 342)}",2602513.00064,1400610.655,486.005018537
610,343,47.3701171875,-110.361183167,4,2,[  0 128   0],47.405198097229004,-110.56151008605957,"{'top_right': (610, 342), 'bottom_left': (609, 343), 'bottom_right': (610, 343), 'top_left': (609, 342)}",2584197.05086,1388286.49837,485.351132154
611,343,47.2696342468,-110.612953186,5,2,[  0 128   0],47.304095268249512,-110.81298828125,"{'top_right': (611, 342), 'bottom_left': (610, 343), 'bottom_right': (611, 343), 'top_left': (610, 342)}",2565904.60716,1375954.99279,484.685837667
612,343,47.16847229,-110.863426208,6,2,[  0 128   0],47.20231819152832,-111.06315422058105,"{'top_right': (612, 342), 'bottom_left': (611, 343), 'bottom_right': (612, 343), 'top_left': (611, 342)}",2547636.02067,1363616.215,484.013563806
613,343,47.0666427612,-111.112586975,7,2,[  0 128   0],47.099873542785645,-111.31200981140137,"{'top_right': (613, 342), 'bottom_left': (612, 343), 'bottom_right': (613, 343), 'top_left': (612, 342)}",2529391.36787,1351270.22727,483.337655555
608,344,47.741065979,-110.000762939,8,2,[  0 128   0],47.77708625793457,-110.20268821716309,"{'top_right': (608, 343), 'bottom_left': (607, 344), 'bottom_right': (608, 344), 'top_left': (607, 343)}",2608559.09686,1431228.87638,487.794258469
609,344,47.6414031982,-110.255889893,9,2,[  0 128   0],47.676793098449707,-110.4575309753418,"{'top_right': (609, 343), 'bottom_left': (608, 344), 'bottom_right': (609, 344), 'top_left': (608, 343)}",2590208.65964,1418886.847,487.140706328
