col,row,lat,long,id,noSnowMap,noSnowMapRBG,centroid_lat,centroid_long,area_points,x,y,area
294,494,43.0973052979,5.25966644287,0,1,[  0   0 139],43.200854301452637,5.380205512046814,"{'top_right': (294, 493), 'bottom_left': (293, 494), 'bottom_right': (294, 494), 'top_left': (293, 493)}",1875694.2003,1727269.25353,456.429833475
295,494,43.2889175415,5.23782110214,1,1,[  0   0 139],43.39264965057373,5.3588619232177734,"{'top_right': (295, 493), 'bottom_left': (294, 494), 'bottom_right': (295, 494), 'top_left': (294, 493)}",1875165.35844,1748664.56213,457.754402827
296,494,43.4808006287,5.21577501297,2,2,[  0 128   0],43.584715843200684,5.3373205661773682,"{'top_right': (296, 493), 'bottom_left': (295, 494), 'bottom_right': (296, 494), 'top_left': (295, 493)}",1874636.44921,1770091.43795,459.077658692
297,494,43.6729545593,5.19352340698,3,2,[  0 128   0],43.777050971984863,5.3155786991119385,"{'top_right': (297, 493), 'bottom_left': (296, 494), 'bottom_right': (297, 494), 'top_left': (296, 493)}",1874107.47112,1791549.62207,460.39725132
298,494,43.8653755188,5.17106485367,4,2,[  0 128   0],43.969655990600586,5.2936338186264038,"{'top_right': (298, 493), 'bottom_left': (297, 494), 'bottom_right': (298, 494), 'top_left': (297, 493)}",1873578.46391,1813039.17153,461.717759888
299,494,44.0580673218,5.14839601517,5,2,[  0 128   0],44.162531852722168,5.2714825868606567,"{'top_right': (299, 493), 'bottom_left': (298, 494), 'bottom_right': (299, 494), 'top_left': (298, 493)}",1873049.40513,1834560.14675,463.042620046
300,494,44.2510299683,5.12551355362,6,2,[  0 128   0],44.355676651000977,5.2491223812103271,"{'top_right': (300, 493), 'bottom_left': (299, 494), 'bottom_right': (300, 494), 'top_left': (299, 493)}",1872520.31569,1856112.28651,464.363804758
301,494,44.4442596436,5.10241508484,7,2,[  0 128   0],44.549089431762695,5.2265502214431763,"{'top_right': (301, 493), 'bottom_left': (300, 494), 'bottom_right': (301, 494), 'top_left': (300, 493)}",1871991.19832,1877695.43659,465.683721806
302,494,44.6377563477,5.07909679413,8,2,[  0 128   0],44.742769241333008,5.2037630081176758,"{'top_right': (302, 493), 'bottom_left': (301, 494), 'bottom_right': (302, 494), 'top_left': (301, 493)}",1871462.05084,1899309.44277,467.002278168
303,494,44.8315200806,5.0555562973,9,2,[  0 128   0],44.936715126037598,5.180757999420166,"{'top_right': (303, 493), 'bottom_left': (302, 494), 'bottom_right': (303, 494), 'top_left': (302, 493)}",1870932.90377,1920954.14855,468.319416078
304,494,45.0255470276,5.0317902565,10,2,[  0 128   0],45.130927085876465,5.1575316190719604,"{'top_right': (304, 493), 'bottom_left': (303, 494), 'bottom_right': (304, 494), 'top_left': (303, 493)}",1870403.733,1942629.5067,469.638448192
305,494,45.2198410034,5.00779485703,11,2,[  0 128   0],45.325404167175293,5.1340807676315308,"{'top_right': (305, 493), 'bottom_left': (304, 494), 'bottom_right': (305, 494), 'top_left': (304, 493)}",1869874.55058,1964335.36125,470.953685942
294,495,43.1127433777,5.52199029922,12,1,[  0   0 139],43.215902328491211,5.643223762512207,"{'top_right': (294, 494), 'bottom_left': (293, 495), 'bottom_right': (294, 495), 'top_left': (293, 494)}",1897066.46895,1727757.04361,456.536225164
295,495,43.3044509888,5.50134420395,13,2,[  0 128   0],43.40778923034668,5.6230854988098145,"{'top_right': (295, 494), 'bottom_left': (294, 495), 'bottom_right': (295, 495), 'top_left': (294, 494)}",1896567.78453,1749154.46403,457.862631301
296,495,43.4964294434,5.48050737381,14,2,[  0 128   0],43.599946975708008,5.6027605533599854,"{'top_right': (296, 494), 'bottom_left': (295, 495), 'bottom_right': (296, 495), 'top_left': (295, 494)}",1896069.03612,1770583.36816,459.184219548
297,495,43.6886787415,5.45947647095,15,2,[  0 128   0],43.792375564575195,5.5822464227676392,"{'top_right': (297, 494), 'bottom_left': (296, 495), 'bottom_right': (297, 495), 'top_left': (296, 494)}",1895570.24057,1792043.70727,460.504687167
298,495,43.8811950684,5.43825006485,16,2,[  0 128   0],43.985074043273926,5.5615406036376953,"{'top_right': (298, 494), 'bottom_left': (297, 495), 'bottom_right': (298, 495), 'top_left': (297, 494)}",1895071.41292,1813535.32618,461.826192806
299,495,44.0739860535,5.41682434082,17,2,[  0 128   0],44.178044319152832,5.5406398773193359,"{'top_right': (299, 494), 'bottom_left': (298, 495), 'bottom_right': (299, 495), 'top_left': (298, 494)}",1894572.53247,1835058.39003,463.151962872
300,495,44.2670440674,5.39519643784,18,2,[  0 128   0],44.371284484863281,5.5195417404174805,"{'top_right': (300, 494), 'bottom_left': (299, 495), 'bottom_right': (300, 495), 'top_left': (299, 494)}",1894073.61701,1856612.63659,464.473933441
301,495,44.4603729248,5.37336444855,19,2,[  0 128   0],44.564793586730957,5.4982434511184692,"{'top_right': (301, 494), 'bottom_left': (300, 495), 'bottom_right': (301, 495), 'top_left': (300, 494)}",1893574.67508,1878197.91004,465.794416949
302,495,44.653968811,5.35132455826,20,2,[  0 128   0],44.758570671081543,5.476742148399353,"{'top_right': (302, 494), 'bottom_left': (301, 495), 'bottom_right': (302, 495), 'top_left': (301, 494)}",1893075.70998,1899814.05448,467.113522095
303,495,44.8478317261,5.32907438278,21,2,[  0 128   0],44.952613830566406,5.4550350904464722,"{'top_right': (303, 494), 'bottom_left': (302, 495), 'bottom_right': (303, 495), 'top_left': (302, 494)}",1892576.73269,1921460.80701,468.429863229
304,495,45.0419616699,5.3066110611,22,2,[  0 128   0],45.14692497253418,5.4331189393997192,"{'top_right': (304, 494), 'bottom_left': (303, 495), 'bottom_right': (304, 495), 'top_left': (303, 494)}",1892077.73563,1943138.33049,469.749227329
305,495,45.2363586426,5.28393030167,23,2,[  0 128   0],45.341503143310547,5.4109909534454346,"{'top_right': (305, 494), 'bottom_left': (304, 495), 'bottom_right': (305, 495), 'top_left': (304, 494)}",1891578.74496,1964846.46676,471.067327668
306,495,45.4310188293,5.26103067398,24,2,[  0 128   0],45.536345481872559,5.3886480331420898,"{'top_right': (306, 494), 'bottom_left': (305, 495), 'bottom_right': (306, 495), 'top_left': (305, 494)}",1891079.75112,1986584.84688,472.382725995
307,495,45.6259460449,5.23790740967,25,2,[  0 128   0],45.731453895568848,5.3660867214202881,"{'top_right': (307, 494), 'bottom_left': (306, 495), 'bottom_right': (307, 495), 'top_left': (306, 494)}",1890580.7519,2008353.63251,473.700993063
308,495,45.8211364746,5.21455812454,26,2,[  0 128   0],45.926826477050781,5.3433042764663696,"{'top_right': (308, 494), 'bottom_left': (307, 495), 'bottom_right': (308, 495), 'top_left': (307, 494)}",1890081.78119,2030152.55784,475.014324814
309,495,46.0165901184,5.19097948074,27,2,[  0 128   0],46.122463226318359,5.3202971220016479,"{'top_right': (309, 494), 'bottom_left': (308, 495), 'bottom_right': (309, 495), 'top_left': (308, 494)}",1889582.82537,2051981.57207,476.330737856
310,495,46.212310791,5.16716718674,28,2,[  0 128   0],46.318362236022949,5.2970618009567261,"{'top_right': (310, 494), 'bottom_left': (309, 495), 'bottom_right': (310, 495), 'top_left': (309, 494)}",1889083.87291,2073840.41146,477.64189507
311,495,46.4082870483,5.14311885834,29,2,[  0 128   0],46.514521598815918,5.2735954523086548,"{'top_right': (311, 494), 'bottom_left': (310, 495), 'bottom_right': (311, 495), 'top_left': (310, 494)}",1888584.9628,2095728.80903,478.947849872
312,495,46.6045265198,5.11883115768,30,2,[  0 128   0],46.710946083068848,5.2498942613601685,"{'top_right': (312, 494), 'bottom_left': (311, 495), 'bottom_right': (312, 495), 'top_left': (311, 494)}",1888086.11051,2117647.24277,480.267257213
313,495,46.80103302,5.09429931641,31,2,[  0 128   0],46.907630920410156,5.225954532623291,"{'top_right': (313, 494), 'bottom_left': (312, 495), 'bottom_right': (313, 495), 'top_left': (312, 494)}",1887587.28317,2139595.13057,481.575621481
314,495,46.9977912903,5.06952047348,32,2,[  0 128   0],47.104575157165527,5.2017728090286255,"{'top_right': (314, 494), 'bottom_left': (313, 495), 'bottom_right': (314, 495), 'top_left': (313, 494)}",1887088.49663,2161572.31227,482.882099713
315,495,47.1948165894,5.04449033737,33,2,[  0 128   0],47.301778793334961,5.1773455142974854,"{'top_right': (315, 494), 'bottom_left': (314, 495), 'bottom_right': (315, 495), 'top_left': (314, 494)}",1886589.76967,2183578.73354,484.189144652
316,495,47.3920936584,5.01920557022,34,2,[  0 128   0],47.499238014221191,5.1526689529418945,"{'top_right': (316, 494), 'bottom_left': (315, 495), 'bottom_right': (316, 495), 'top_left': (315, 494)}",1886091.09158,2205613.91646,485.487462941
294,496,43.1273078918,5.78450298309,35,1,[  0   0 139],43.230072021484375,5.9064261913299561,"{'top_right': (294, 495), 'bottom_left': (293, 496), 'bottom_right': (294, 496), 'top_left': (293, 495)}",1918442.78613,1728216.25424,456.638041841
295,496,43.3191070557,5.76505756378,36,2,[  0 128   0],43.422043800354004,5.8874958753585815,"{'top_right': (295, 495), 'bottom_left': (294, 496), 'bottom_right': (295, 496), 'top_left': (294, 495)}",1917974.26821,1749615.50941,457.962930732
296,496,43.5111694336,5.7454328537,37,2,[  0 128   0],43.614288330078125,5.8683899641036987,"{'top_right': (296, 495), 'bottom_left': (295, 496), 'bottom_right': (296, 496), 'top_left': (295, 495)}",1917505.69722,1771046.38152,459.285364566
297,496,43.7035102844,5.72562551498,38,2,[  0 128   0],43.806805610656738,5.8491060733795166,"{'top_right': (297, 495), 'bottom_left': (296, 496), 'bottom_right': (297, 496), 'top_left': (296, 495)}",1917037.0869,1792508.82092,460.608905532
298,496,43.8961181641,5.70563364029,39,2,[  0 128   0],43.999591827392578,5.8296419382095337,"{'top_right': (298, 495), 'bottom_left': (297, 496), 'bottom_right': (298, 496), 'top_left': (297, 495)}",1916568.44265,1814002.35319,461.927631893
299,496,44.0889968872,5.68545436859,40,2,[  0 128   0],44.19265079498291,5.8099945783615112,"{'top_right': (299, 495), 'bottom_left': (298, 496), 'bottom_right': (299, 496), 'top_left': (298, 495)}",1916099.7595,1835527.35371,463.254151327
300,496,44.2821502686,5.66508436203,41,2,[  0 128   0],44.385981559753418,5.7901613712310791,"{'top_right': (300, 495), 'bottom_left': (299, 496), 'bottom_right': (300, 496), 'top_left': (299, 495)}",1915631.0385,1857083.66622,464.578214257
301,496,44.4755706787,5.64452171326,42,2,[  0 128   0],44.579581260681152,5.7701398134231567,"{'top_right': (301, 495), 'bottom_left': (300, 496), 'bottom_right': (301, 496), 'top_left': (300, 495)}",1915162.28301,1878670.92151,465.898392141
302,496,44.6692619324,5.62376308441,43,2,[  0 128   0],44.773449897766113,5.749927282333374,"{'top_right': (302, 495), 'bottom_left': (301, 496), 'bottom_right': (302, 496), 'top_left': (301, 495)}",1914693.50721,1900289.06811,467.218125882
303,496,44.8632202148,5.60280656815,44,2,[  0 128   0],44.967584609985352,5.7295211553573608,"{'top_right': (303, 495), 'bottom_left': (302, 496), 'bottom_right': (303, 496), 'top_left': (302, 495)}",1914224.71258,1921937.73615,468.532820253
304,496,45.0574417114,5.58164834976,45,2,[  0 128   0],45.161988258361816,5.7089184522628784,"{'top_right': (304, 495), 'bottom_left': (303, 496), 'bottom_right': (304, 496), 'top_left': (303, 495)}",1913755.9102,1943617.19231,469.854052632
305,496,45.2519378662,5.56028604507,46,2,[  0 128   0],45.356660842895508,5.6881164312362671,"{'top_right': (305, 495), 'bottom_left': (304, 496), 'bottom_right': (305, 496), 'top_left': (304, 495)}",1913287.11774,1965327.38388,471.175048685
306,496,45.4466972351,5.53871679306,47,2,[  0 128   0],45.55159854888916,5.6671121120452881,"{'top_right': (306, 495), 'bottom_left': (305, 496), 'bottom_right': (306, 496), 'top_left': (305, 495)}",1912818.31582,1987067.83488,472.488730224
