col,row,lat,long,noSnowMap,noSnowMapRBG,centroid_lat,centroid_long,x,y,area
683,392,44.9178504944,65.1653442383,2,[  0 128   0],44.893239974975586,65.356637954711914,713974.450086,3260701.64828,468.906395303
684,391,44.6470069885,65.0971603394,2,[  0 128   0],44.622607231140137,65.287225723266602,701686.887868,3232339.3078,467.064901216
684,392,44.7579460144,65.3218154907,2,[  0 128   0],44.732996940612793,65.512264251708984,721784.538148,3240670.59126,467.81496392
684,393,44.868347168,65.5476989746,2,[  0 128   0],44.842844009399414,65.738525390625,741915.649549,3248972.27084,468.568645359
684,394,44.9782028198,65.774810791,2,[  0 128   0],44.952141761779785,65.966011047363281,762079.971665,3257244.20802,469.318381319
685,390,44.3766326904,65.0298690796,2,[  0 128   0],44.352445602416992,65.218725204467773,689462.592713,3204012.68445,465.222721815
685,391,44.4875488281,65.2528610229,2,[  0 128   0],44.462812423706055,65.442094802856445,709504.144434,3212348.42087,465.98130747
685,392,44.5979270935,65.47706604,2,[  0 128   0],44.57264232635498,65.666669845581055,729579.023035,3220654.70233,466.72868013
685,393,44.7077674866,65.7024765015,2,[  0 128   0],44.681929588317871,65.8924560546875,749687.296819,3228931.42276,467.480008851
685,394,44.8170585632,65.9291152954,2,[  0 128   0],44.790667533874512,66.119451522827148,769828.431329,3237178.49718,468.222499285
685,395,44.9258003235,66.1569595337,2,[  0 128   0],44.898849487304688,66.347660064697266,790002.341242,3245395.74877,468.959273217
686,390,44.2176246643,65.1848144531,2,[  0 128   0],44.19310188293457,65.372846603393555,697287.318975,3184062.52068,464.131862082
686,391,44.3279762268,65.4073562622,2,[  0 128   0],44.302909851074219,65.595758438110352,717305.877618,3192373.06113,464.885812174
686,392,44.4377975464,65.6310958862,2,[  0 128   0],44.412181854248047,65.819866180419922,737357.851018,3200654.26643,465.636296815
686,393,44.547077179,65.8560409546,2,[  0 128   0],44.520912170410156,66.045173645019531,757443.168681,3208906.05568,466.386552396
686,394,44.6558151245,66.0821914673,2,[  0 128   0],44.629094123840332,66.271677017211914,777561.156304,3217128.36668,467.123005671
686,395,44.7639961243,66.3095397949,2,[  0 128   0],44.736720085144043,66.499382019042969,797711.861176,3225320.88095,467.857180937
686,396,44.8716201782,66.5381088257,2,[  0 128   0],44.843783378601074,66.728294372558594,817895.362276,3233483.3883,468.592227855
686,397,44.9786758423,66.7678833008,2,[  0 128   0],44.950277328491211,66.958412170410156,838111.1608,3241615.79813,469.317859174
687,389,43.9481811523,65.1176528931,2,[  0 128   0],43.923866271972656,65.304500579833984,685133.82041,3155813.16275,462.293591233
687,390,44.058506012,65.3385620117,2,[  0 128   0],44.033649444580078,65.525775909423828,705096.353614,3164127.7501,463.047377865
687,391,44.1683006287,65.5606536865,2,[  0 128   0],44.142903327941895,65.74822998046875,725092.152886,3172413.27487,463.793964244
687,392,44.2775650024,65.7839279175,2,[  0 128   0],44.251620292663574,65.971866607666016,745121.102164,3180669.43738,464.541318894
687,393,44.3862876892,66.0083999634,2,[  0 128   0],44.359795570373535,66.196689605712891,765183.16437,3188896.25299,465.287887975
687,394,44.494468689,66.2340621948,2,[  0 128   0],44.467424392700195,66.422700881958008,785278.161287,3197093.76964,466.026528559
687,395,44.6020965576,66.4609146118,2,[  0 128   0],44.574498176574707,66.649900436401367,805405.683048,3205261.64899,466.758881079
687,396,44.7091674805,66.6889648438,2,[  0 128   0],44.681008338928223,66.878292083740234,825565.625623,3213399.49377,467.487990377
687,397,44.8156700134,66.91822052,2,[  0 128   0],44.786949157714844,67.107879638671875,845757.962653,3221507.22201,468.213513939
687,398,44.9216003418,67.1486740112,2,[  0 128   0],44.892315864562988,67.338661193847656,865982.257353,3229584.94356,468.933104325
688,388,43.6792182922,65.051361084,2,[  0 128   0],43.655109405517578,65.237035751342773,673043.293935,3127600.97339,460.44236073
688,389,43.7895050049,65.2706604004,2,[  0 128   0],43.764862060546875,65.456697463989258,692949.7672,3135919.13052,461.201781089
688,390,43.8992729187,65.4911270142,2,[  0 128   0],43.874093055725098,65.677522659301758,712889.510622,3144208.58487,461.952857277
688,391,44.008518219,65.7127609253,2,[  0 128   0],43.982795715332031,65.899517059326172,732862.58056,3152469.10086,462.702074713
