col,row,lat,long,id,noSnowMap,noSnowMapRBG,centroid_lat,centroid_long,area_points,x,y,area
668,304,35.127166748,-117.045562744,0,2,[  0 128   0],35.144547462463379,-117.19959449768066,"{'top_right': (668, 303), 'bottom_left': (667, 304), 'bottom_right': (668, 304), 'top_left': (667, 303)}",2413737.55828,1684079.86438,399.813682941
669,304,35.0186691284,-117.220649719,1,2,[  0 128   0],35.035645484924316,-117.37438583374023,"{'top_right': (669, 303), 'bottom_left': (668, 304), 'bottom_right': (669, 304), 'top_left': (668, 303)}",2398044.65326,1671687.4116,399.032055702
667,305,35.3793029785,-117.002304077,2,2,[  0 128   0],35.396815299987793,-117.15715026855469,"{'top_right': (667, 304), 'bottom_left': (666, 305), 'bottom_right': (667, 305), 'top_left': (666, 304)}",2417067.06034,1712194.31966,401.643248501
668,305,35.2706642151,-117.17842865,3,2,[  0 128   0],35.287771224975586,-117.33298110961914,"{'top_right': (668, 304), 'bottom_left': (667, 305), 'bottom_right': (668, 305), 'top_left': (667, 304)}",2401336.69493,1699777.19934,400.852139051
669,305,35.1616897583,-117.353736877,4,2,[  0 128   0],35.17839527130127,-117.50799560546875,"{'top_right': (669, 304), 'bottom_left': (668, 305), 'bottom_right': (669, 305), 'top_left': (668, 304)}",2385636.23588,1687353.90791,400.069234671
670,305,35.0523872375,-117.528236389,5,2,[  0 128   0],35.068693161010742,-117.68219184875488,"{'top_right': (670, 304), 'bottom_left': (669, 305), 'bottom_right': (670, 305), 'top_left': (669, 304)}",2369966.16474,1674924.75634,399.275964732
667,306,35.5232048035,-117.135757446,6,2,[  0 128   0],35.540446281433105,-117.29113006591797,"{'top_right': (667, 305), 'bottom_left': (666, 306), 'bottom_right': (667, 306), 'top_left': (666, 305)}",2404642.05098,1727931.6256,402.684773277
668,306,35.4140892029,-117.312110901,7,2,[  0 128   0],35.430925369262695,-117.46718788146973,"{'top_right': (668, 305), 'bottom_left': (667, 306), 'bottom_right': (668, 306), 'top_left': (667, 305)}",2388904.08631,1715483.56489,401.892250966
669,306,35.3046417236,-117.48764801,8,2,[  0 128   0],35.321072578430176,-117.64242172241211,"{'top_right': (669, 305), 'bottom_left': (668, 306), 'bottom_right': (669, 306), 'top_left': (668, 305)}",2373196.26757,1703029.29987,401.103973588
670,306,35.1948623657,-117.662361145,9,2,[  0 128   0],35.210894584655762,-117.81683158874512,"{'top_right': (670, 305), 'bottom_left': (669, 306), 'bottom_right': (670, 306), 'top_left': (669, 305)}",2357518.90755,1690569.24184,400.305268486
671,306,35.0847625732,-117.836250305,10,2,[  0 128   0],35.100395202636719,-117.99042129516602,"{'top_right': (671, 305), 'bottom_left': (670, 306), 'bottom_right': (671, 306), 'top_left': (670, 305)}",2341871.98068,1678103.48087,399.507656835
666,307,35.7763023376,-117.09261322,11,2,[  0 128   0],35.793673515319824,-117.24882125854492,"{'top_right': (666, 306), 'bottom_left': (665, 307), 'bottom_right': (666, 307), 'top_left': (665, 306)}",2407961.10596,1756150.93546,404.514960247
667,307,35.6670417786,-117.27003479,12,2,[  0 128   0],35.684006690979004,-117.42593765258789,"{'top_right': (667, 306), 'bottom_left': (666, 307), 'bottom_right': (667, 307), 'top_left': (666, 306)}",2392185.3314,1743677.9137,403.726377818
668,307,35.5574493408,-117.446617126,13,2,[  0 128   0],35.574006080627441,-117.60221862792969,"{'top_right': (668, 306), 'bottom_left': (667, 307), 'bottom_right': (668, 307), 'top_left': (667, 306)}",2376439.9593,1731198.78023,402.929972533
669,307,35.4475212097,-117.622375488,14,2,[  0 128   0],35.463674545288086,-117.77766990661621,"{'top_right': (669, 306), 'bottom_left': (668, 307), 'bottom_right': (669, 307), 'top_left': (668, 306)}",2360724.7947,1718713.5099,402.136473674
670,307,35.3372650146,-117.797302246,15,2,[  0 128   0],35.353017807006836,-117.95229339599609,"{'top_right': (670, 306), 'bottom_left': (669, 307), 'bottom_right': (670, 307), 'top_left': (669, 306)}",2345039.98469,1706222.40381,401.337351977
671,307,35.226688385,-117.971412659,16,2,[  0 128   0],35.24204158782959,-118.12608909606934,"{'top_right': (671, 306), 'bottom_left': (670, 307), 'bottom_right': (671, 307), 'top_left': (670, 306)}",2329385.85332,1693725.7664,400.535533309
672,307,35.1157913208,-118.144691467,17,2,[  0 128   0],35.130746841430664,-118.2990608215332,"{'top_right': (672, 306), 'bottom_left': (671, 307), 'bottom_right': (672, 307), 'top_left': (671, 306)}",2313762.38605,1681223.36994,399.735077453
673,307,35.0045776367,-118.317153931,18,2,[  0 128   0],35.019138336181641,-118.47121238708496,"{'top_right': (673, 306), 'bottom_left': (672, 307), 'bottom_right': (673, 307), 'top_left': (672, 306)}",2298169.56485,1668715.41378,398.931176608
665,308,36.0299377441,-117.049003601,19,2,[  0 128   0],36.047446250915527,-117.2060489654541,"{'top_right': (665, 307), 'bottom_left': (664, 308), 'bottom_right': (665, 308), 'top_left': (664, 307)}",2411293.72934,1784434.30378,406.34771298
