,days,first_day,sums,mean,std,counts,dayofyear
0,1-5,1,241512699.93,2439522.22152,487558.23219,99,1
1,6-10,6,242004098.279,2444485.8412,419020.050375,99,6
2,11-15,11,240218370.1,2502274.68854,366829.618081,96,11
3,16-20,16,254624608.988,2680259.04198,529667.031621,95,16
4,21-25,21,275855633.814,2786420.54358,616380.178611,99,21
5,26-30,26,243016684.476,2641485.70083,613264.161745,92,26
6,31-35,31,243135161.089,2559317.48514,661676.729272,95,31
7,36-40,36,238355173.401,2457269.82888,608630.766924,97,36
8,41-45,41,243278012.344,2432780.12344,628616.797447,100,41
9,46-50,46,233301018.431,2481925.72799,731910.870482,94,46
10,51-55,51,218594056.707,2230551.59905,492009.023265,98,51
11,56-60,56,208139040.391,2145763.303,436049.45625,97,56
12,61-65,61,195141289.965,2098293.44049,424385.428194,93,61
13,66-70,66,182869549.066,1885253.08315,435410.586705,97,66
14,71-75,71,170828056.582,1761113.98539,430548.138234,97,71
15,76-80,76,163503346.066,1668401.49047,429275.918715,98,76
16,81-85,81,145545702.295,1548358.53506,361046.458596,94,81
17,86-90,86,140733954.12,1465978.68875,334124.110476,96,86
18,91-95,91,135984752.953,1416507.84326,288179.936705,96,91
19,96-100,96,132769761.101,1397576.43264,305080.092917,95,96
20,101-105,101,130517004.249,1345536.12627,267381.151909,97,101
21,106-110,106,118672894.693,1223431.90406,244700.907462,97,106
22,111-115,111,109970301.796,1169896.82762,192103.154806,94,111
23,116-120,116,104865601.875,1092350.01953,180448.342207,96,116
24,121-125,121,100603359.688,1058982.73356,232649.352263,95,121
25,126-130,126,97529179.1873,1026622.93881,265075.139928,95,126
26,131-135,131,95106188.3981,980476.169052,264104.406244,97,131
27,136-140,136,84523307.1416,889719.022543,206357.458964,95,136
28,141-145,141,80033136.6179,842454.069662,203811.939419,95,141
29,146-150,146,79294857.0852,800958.152376,220294.416351,99,146
30,151-155,151,71144908.7561,741092.799542,175052.609567,96,151
31,156-160,156,65616537.1241,683505.595043,161814.307438,96,156
32,161-165,161,60069503.6191,619273.233187,169200.060768,97,161
33,166-170,166,53442052.9652,562547.925949,179666.68972,95,166
34,171-175,171,51361580.9356,529500.834388,179500.771367,97,171
35,176-180,176,45246214.9938,461696.071366,191939.00131,98,176
36,181-185,181,38546066.5941,405748.069411,194791.629686,95,181
37,186-190,186,34425118.661,362369.670116,203827.162011,95,186
38,191-195,191,30792838.4567,314212.637313,178681.527497,98,191
39,196-200,196,28274966.2288,291494.497204,178743.146305,97,196
40,201-205,201,22647484.6311,243521.340119,143793.036685,93,201
41,206-210,206,20607956.5021,212453.159815,137143.640133,97,206
42,211-215,211,17871028.482,188116.089284,127267.386035,95,211
43,216-220,216,16565308.085,170776.37201,105816.018919,97,216
44,221-225,221,15123908.6389,160892.645094,106905.62702,94,221
45,226-230,226,15220424.8932,153741.665588,94697.0687434,99,226
46,231-235,231,14374715.4587,151312.794302,90969.4061106,95,231
47,236-240,236,14204425.8159,151110.912935,85783.4324331,94,236
48,241-245,241,16442451.7157,169509.811502,88833.1412345,97,241
49,246-250,246,19640078.0662,204584.146523,92460.1481695,96,246
50,251-255,251,18733886.8329,199296.668435,81283.3552138,94,251
51,256-260,256,21178799.8552,220612.498492,87342.5708624,96,256
52,261-265,261,26825015.0192,273724.643053,111093.208283,98,261
53,266-270,266,33090276.5949,355809.425751,147545.200306,93,266
54,271-275,271,38383605.7998,404037.955788,151830.333985,95,271
55,276-280,276,40590182.7536,446045.964326,155013.392836,91,276
56,281-285,281,56107175.834,590601.850884,222316.713147,95,281
57,286-290,286,71417778.3279,736265.755958,210032.413333,97,286
58,291-295,291,81273966.0573,873913.61352,216763.188346,93,291
59,296-300,296,97450601.868,1036708.53051,283461.943264,94,296
60,301-305,301,111061384.964,1121832.17136,247522.421219,99,301
61,306-310,306,109728580.936,1155037.69407,290027.933708,95,306
62,311-315,311,120715645.231,1231792.29828,355066.185525,98,311
63,316-320,316,129553192.047,1335599.91801,428742.435282,97,316
64,321-325,321,135461614.354,1441081.00377,487702.8792,94,321
65,326-330,326,148005149.756,1557948.9448,441382.173104,95,326
66,331-335,331,157323274.606,1638784.11048,414042.297864,96,331
67,336-340,336,156723938.746,1685203.64243,389890.629045,93,336
68,341-345,341,174826767.525,1783946.6074,444636.341906,98,341
69,346-350,346,195724561.842,2060258.54571,584965.246908,95,346
70,351-355,351,206230900.934,2104396.9483,473521.731099,98,351
71,356-360,356,217927023.058,2223745.13325,456647.167169,98,356
72,361-365,361,219066232.91,2330491.83947,482265.967149,94,361
