timestamp,perc coverage,coverage (km+AF4-2)
2004+AC0-02+AC0-24,0.2184116278,1760772.67584
2004+AC0-02+AC0-25,0.2187860623,1763791.26094
2004+AC0-02+AC0-26,0.1863705582,1502466.64856
2004+AC0-02+AC0-27,0.1760029478,1418885.91032
2004+AC0-02+AC0-28,0.1760029478,1418885.91032
2004+AC0-02+AC0-29,0.1760029478,1418885.91032
2004+AC0-03+AC0-01,0.182403968,1470489.12218
2004+AC0-03+AC0-02,0.1951256518,1573047.7333
2004+AC0-03+AC0-03,0.1891206572,1524637.16794
2004+AC0-03+AC0-04,0.1665013081,1342286.38233
2004+AC0-03+AC0-05,0.1678190717,1352909.81956
2004+AC0-03+AC0-06,0.1678190717,1352909.81956
2004+AC0-03+AC0-07,0.1678471035,1353135.80392
2004+AC0-03+AC0-08,0.1853555289,1494283.77017
2004+AC0-03+AC0-09,0.1594877917,1285745.40021
2004+AC0-03+AC0-10,0.1569540906,1265319.41919
2004+AC0-03+AC0-11,0.1569540906,1265319.41919
2004+AC0-03+AC0-12,0.1520902945,1226108.87324
2004+AC0-03+AC0-13,0.1485678394,1197711.83793
2004+AC0-03+AC0-14,0.1498555453,1208092.95805
2004+AC0-03+AC0-15,0.1503873682,1212380.3632
2004+AC0-03+AC0-16,0.1420747403,1145366.31223
2004+AC0-03+AC0-17,0.1304235082,1051437.37882
2004+AC0-03+AC0-18,0.1240633115,1000163.27503
2004+AC0-03+AC0-19,0.1242741892,1001863.3114
2004+AC0-03+AC0-20,0.1225014935,987572.340658
2004+AC0-03+AC0-21,0.128638295,1037045.49563
2004+AC0-03+AC0-22,0.1286928392,1037485.21561
2004+AC0-03+AC0-23,0.1223889733,986665.23462
2004+AC0-03+AC0-24,0.1290781192,1040591.23397
2004+AC0-03+AC0-25,0.1216163195,980436.318786
2004+AC0-03+AC0-26,0.1211953775,977042.803508
2004+AC0-03+AC0-27,0.1292663661,1042108.82767
2004+AC0-03+AC0-28,0.1241286604,1000690.09927
2004+AC0-03+AC0-29,0.1243636737,1002584.70986
